,ISBN,條碼號
0,0007101384,1
1,0060081783,1
2,0060094656,1
3,0060249617,1
4,0060272945,1
5,006028031X,1
6,0060285958,1
7,0060287675,1
8,0060289015,1
9,0064451771,1
10,0064467074,1
11,0064467104,1
12,0140567887,1
13,03071213,1
14,0307157938,1
15,0328018295,1
16,0439140382,1
17,0439204739,1
18,0439221129,2
19,0439284864,1
20,0439394538,1
21,0439395186,1
22,0439603730,1
23,0439659329,1
24,0439678498,1
25,044842584X,1
26,0505522756,1
27,0516222112,1
28,051624826X,1
29,0563556838,1
30,0582517508,1
31,0590472747,1
32,0590521055,1
33,0646420917,1
34,0688178804,1
35,0717264726,1
36,0717285421,16
37,0721400027,1
38,0744568528,1
39,0753405040,1
40,0753405059,1
41,0753405067,1
42,0753405083,1
43,0753405091,1
44,0753405105,1
45,0753405113,1
46,075340513X,1
47,0753405148,1
48,0753405156,1
49,0753405164,1
50,0753405172,1
51,0753405180,1
52,0753405199,1
53,0753405202,1
54,0753405210,1
55,0753405229,1
56,0753405237,1
57,075340524,1
58,0753405245,1
59,0753405253,1
60,0753406292,1
61,0753408031,1
62,075340804X,1
63,0783527411,14
64,0823417425,1
65,0843105690,12
66,0849979447,1
67,0864611994,1
68,1582090734,1
69,1590191498,1
70,1840892927,1
71,1840893168,1
72,1851032436,1
73,1851032843,1
74,1851032878,1
75,1851032894,1
76,1851033335,1
77,1932065024,1
78,3434100032,1
79,4510003013,1
80,4510003021,2
81,451000303X,2
82,4510003048,2
83,4710589970019,1
84,4710589972099,1
85,4710589972105,1
86,4710589972112,1
87,4710589972129,1
88,4710589972136,1
89,4710589972143,1
90,4710589972150,1
91,4710589972174,1
92,4710589972181,1
93,4710589972198,1
94,4710589972204,1
95,4710589972211,1
96,4710589972228,1
97,4710589972235,1
98,4710589972242,1
99,4710589972259,1
100,4710589972303,1
101,4710589972310,1
102,4710589972365,1
103,4710614375819,24
104,4711225319032,2
105,4713269120391,1
106,4713269120667,1
107,4713269129639,1
108,4713331770110,1
109,4713482009145,3
110,4713510943649,1
111,4713510943663,1
112,4713510945537,1
113,4713510945940,1
114,4714426402916,1
115,4714426402923,1
116,4714426402930,1
117,4714426700579,1
118,4714426700586,1
119,4714426700593,1
120,4714426700609,1
121,4714426700623,1
122,4714426700630,1
123,4714426700647,1
124,4714426700654,1
125,4714426800323,2
126,4714426800354,1
127,4714426800385,1
128,4714426800408,1
129,4714426800453,1
130,4714426800460,1
131,4714426800507,1
132,4714426800514,1
133,4714426800521,1
134,4714426800538,1
135,4714426800545,2
136,4714426800552,1
137,4714426800569,1
138,4714426800712,1
139,4714426800729,1
140,4714426800750,2
141,4714587551249,1
142,4714587700760,1
143,4714587700784,2
144,4714587700890,1
145,4714587700906,1
146,4714587700968,1
147,4714587700975,1
148,4714587700982,1
149,47145877009999,1
150,4714587701026,1
151,4714587701040,1
152,4714587701057,1
153,4714587701064,1
154,4714587701101,1
155,4714587701118,1
156,4714587701187,1
157,4714587701194,1
158,4714587701224,1
159,4714587701231,1
160,4714587701262,1
161,4714587701279,1
162,4714587701316,1
163,4714587701354,2
164,4715006000638,1
165,4715006420016,1
166,4715006420023,1
167,4715006420030,1
168,4715006420047,1
169,4715006420054,1
170,4715006420061,1
171,4715006420078,1
172,4715006420085,1
173,4715006420092,1
174,4715006420108,1
175,4715006420115,1
176,4715006420122,2
177,4715006420139,1
178,4715006420146,1
179,4715006420153,2
180,4715006420177,2
181,4715006420184,2
182,4715006420191,1
183,4715006420207,1
184,4715006420214,3
185,4715006420221,2
186,4715006420238,1
187,4715006420245,1
188,4715006421297,2
189,4715006421310,1
190,4715006421327,1
191,4715006421334,1
192,4715006421358,1
193,4715006421372,2
194,4715006421389,1
195,4715006421396,2
196,4715006421402,2
197,4715006421471,1
198,4715006421488,1
199,4715006421495,1
200,4715006421570,2
201,4715006422195,1
202,4715006422201,1
203,4715006422249,1
204,4715006422256,8
205,4715006423161,4
206,4715006423185,2
207,4715006423192,1
208,4715006423208,1
209,4715006423253,1
210,4715006423260,1
211,4715006423765,1
212,4715006426681,1
213,4715006427183,1
214,4715006434037,1
215,4715006437380,4
216,4715006438516,1
217,4715006438523,1
218,4715147011234,1
219,4715147011289,2
220,4715147011296,1
221,4715147011319,2
222,4715147011326,1
223,4715147011333,1
224,4715443016568,10
225,4717211009499,1
226,4717702064006,1
227,4717702214906,4
228,4717702223090,2
229,4717702223335,1
230,4717702227630,5
231,4718016012349,1
232,4718016015432,1
233,4718016016330,1
234,4718050390960,1
235,4718722003518,1
236,4718722005055,1
237,4718722005062,1
238,4718722005079,2
239,4718722005086,1
240,4718722006045,2
241,4718722007905,1
242,4718722013012,1
243,4718722013104,1
244,4718722013128,1
245,4718722013135,1
246,4718722013630,1
247,4718722015016,1
248,4718722015023,1
249,4718722015030,1
250,4718722015047,1
251,4718722015054,1
252,4718722015061,1
253,4718722015078,1
254,4718722015085,1
255,4718722015092,1
256,4718722015108,1
257,4718722015115,1
258,4718722015122,1
259,4718722015139,1
260,4718722015146,1
261,4718722015177,1
262,4718722015184,1
263,4718722015191,1
264,4718722015207,1
265,4718722015238,1
266,4718722015245,1
267,4718722015269,2
268,4718722021000,1
269,4718722021024,1
270,4718722021062,1
271,4718722050376,5
272,4719742029380,1
273,4719742037002,1
274,7106012882,1
275,7106016039,1
276,7106016047,1
277,7106016233,1
278,9,4
279,9570029056,1
280,9570180811,1
281,957018082X,1
282,9570180838,1
283,9570258691,1
284,9570290501,1
285,957029051X,1
286,9570290560,1
287,9570290579,1
288,9570297646,1
289,9570302135,1
290,9570302151,1
291,9570302178,1
292,9570302194,1
293,9570302224,1
294,9570302232,1
295,9570302321,1
296,9570302372,1
297,9570302380,1
298,9570302585,4
299,9570302593,1
300,9570302704,1
301,9570302712,1
302,957030278X,1
303,9570316519,1
304,9570317701,1
305,9570334681,2
306,9570334711,1
307,9570334959,1
308,9570339047,12
309,9570339241,1
310,957033925X,1
311,9570339594,6
312,9570339810,1
313,9570351039,1
314,9570359293,1
315,9570360720,1
316,9570360798,2
317,9570360844,1
318,9570360852,1
319,9570360992,1
320,9570365161,1
321,9570365862,1
322,9570367156,1
323,9570367202,1
324,9570367288,3
325,9570367296,1
326,957036730X,1
327,9570368446,1
328,9570391473,1
329,9570405376,2
330,9570405538,1
331,9570411880,1
332,9570417137,1
333,9570417145,1
334,9570417161,1
335,957041717X,1
336,9570417188,1
337,9570417196,1
338,957041720X,1
339,9570417218,1
340,9570417226,1
341,9570417234,1
342,9570417250,1
343,957041751x,1
344,9570417714,10
345,9570417803,2
346,9570417811,2
347,9570418656,1
348,9570418664,1
349,9570418761,1
350,957041877X,1
351,9570418788,2
352,9570418796,2
353,957041880X,2
354,9570418818,2
355,9570418826,2
356,957043435X,1
357,9570434368,1
358,9570434384,1
359,9570448008,1
360,9570448032,2
361,9570448040,1
362,9570448245,1
363,9570448806,2
364,9570448814,1
365,9570448822,1
366,9570463066,1
367,9570469110,1
368,9570469153,1
369,9570469161,1
370,9570469560,1
371,9570469587,6
372,9570469595,1
373,9570469641,1
374,9570469692,1
375,9570482370,1
376,9570489995,1
377,9570490020,1
378,9570490039,1
379,9570490128,1
380,9570490381,29
381,957049039X,1
382,9570490675,2
383,9570490683,1
384,9570490691,1
385,9570490705,2
386,957051728X,1
387,9570813202,1
388,9570813245,1
389,9570813288,1
390,9570820454,1
391,9570821124,1
392,9570821132,1
393,9570821159,1
394,9570821167,1
395,9570821175,1
396,9570821183,1
397,9570821191,1
398,9570821205,1
399,9570821213,1
400,9570821272,1
401,957082140X,1
402,9570822066,1
403,9570822422,1
404,9570822848,1
405,9570822872,1
406,9570823232,1
407,9570823240,1
408,9570823364,1
409,9570823585,1
410,9570824549,1
411,957082493X,1
412,9570825383,1
413,9570825480,1
414,957082588X,2
415,9570826371,1
416,9570826592,2
417,9570826711,1
418,9570826800,1
419,957082784X,1
420,9570828072,3
421,9570828226,2
422,9570830107,1
423,9570914122,1
424,9570914319,1
425,9570916273,1
426,9571027367,1
427,9571028193,1
428,9571030929,1
429,9571309516,1
430,9571309850,1
431,9571310360,1
432,9571311197,1
433,9571311332,1
434,9571311626,1
435,9571315567,1
436,9571315664,1
437,9571315826,1
438,9571315834,1
439,9571316156,1
440,9571317500,1
441,9571317780,1
442,9571318884,1
443,9571320390,1
444,9571320552,1
445,9571321710,1
446,9571324922,1
447,9571326607,1
448,9571328650,1
449,9571328707,1
450,9571333247,3
451,9571333298,1
452,9571333417,1
453,9571334243,1
454,957133426X,1
455,9571334472,1
456,9571334790,1
457,9571335312,1
458,9571335584,1
459,9571335894,1
460,9571336343,1
461,9571337358,3
462,9571338370,1
463,9571339326,1
464,9571339334,1
465,9571339350,1
466,9571339369,1
467,9571339377,1
468,9571339393,1
469,9571339547,1
470,9571339636,1
471,9571341509,1
472,9571341851,1
473,9571342823,1
474,957134284X,2
475,9571343129,1
476,9571343323,1
477,9571343331,1
478,9571343358,1
479,9571343366,1
480,9571343374,1
481,9571344141,1
482,957134415X,1
483,9571344389,1
484,9571344397,1
485,9571344842,1
486,9571345547,1
487,9571359556,1
488,9571427098,1
489,9571427101,1
490,9571427136,1
491,9571427144,1
492,9571427349,1
493,9571427403,1
494,9571427411,1
495,957142742X,1
496,9571431877,1
497,9571431885,1
498,9571431893,1
499,957143423X,1
500,9571434280,1
501,9571434299,1
502,9571434329,1
503,9571437700,1
504,9571437719,1
505,9571437735,1
506,9571437743,1
507,9571437751,1
508,957143776X,1
509,9571437778,1
510,9571446866,1
511,9571927430,1
512,9572000330,1
513,9572002120,1
514,9572007017,2
515,957200722X,3
516,9572009036,2
517,9572009133,1
518,9572009141,1
519,9572009400,1
520,9572009591,1
521,9572009672,1
522,9572009885,1
523,9572012339,3
524,9572012770,1
525,957201322X,1
526,9572027433,1
527,9572030213,1
528,9572030280,12
529,9572030442,2
530,9572030558,1
531,9572030612,1
532,9572035827,1
533,9572036327,3
534,9572036610,1
535,9572036629,1
536,9572041010,2
537,9572041029,3
538,9572041037,2
539,9572041045,2
540,9572041053,3
541,9572041061,2
542,957204107x,2
543,9572041088,2
544,9572041096,3
545,9572041118,2
546,9572041177,1
547,9572041215,2
548,9572041223,2
549,9572041231,2
550,957204124X,2
551,9572041347,1
552,9572041363,1
553,9572041460,1
554,9572041517,1
555,9572041525,1
556,9572041606,1
557,9572041614,1
558,9572041630,1
559,9572041649,1
560,9572041657,1
561,9572042319,1
562,9572042815,1
563,9572042858,1
564,9572042866,1
565,9572042874,1
566,9572042971,1
567,957204298X,1
568,9572042998,1
569,957205208X,3
570,9572052128,1
571,9572052152,1
572,9572052268,1
573,9572052616,1
574,9572052691,1
575,9572052756,1
576,9572052764,1
577,9572052918,1
578,9572057014,1
579,9572057030,1
580,9572057049,1
581,9572057073,12
582,9572057081,24
583,9572057359,1
584,9572057383,1
585,9572057499,1
586,9572057758,1
587,9572057871,1
588,9572089005,1
589,9572089064,1
590,9572089102,1
591,9572089188,1
592,957209484X,1
593,9572094890,1
594,9572800019,1
595,9572806408,2
596,9572811207,2
597,9572811215,1
598,9572811231,1
599,957281124X,1
600,9572811258,1
601,9572811266,1
602,9572811274,1
603,9572811282,1
604,9572811290,1
605,9572818023,1
606,9572818074,1
607,9572818090,1
608,9572821911,1
609,957282192X,1
610,9572824104,1
611,9572824171,2
612,9572824198,2
613,9572829106,1
614,9572842315,1
615,9572842323,1
616,9572842331,1
617,957284234X,1
618,9572843117,1
619,9572844717,1
620,9572844755,1
621,9572844768,1
622,9572845713,1
623,9572850296,1
624,9572856057,1
625,9572858610,1
626,9572858629,1
627,957285867X,1
628,9572874756,1
629,957287747X,1
630,9572890328,3
631,9572891588,1
632,9572891596,1
633,9572904604,1
634,9572904612,4
635,9572904647,3
636,957290468X,2
637,9572911317,1
638,9572913190,1
639,9572918419,1
640,9572919466,1
641,9572921533,1
642,9572922521,1
643,9572943014,1
644,9572947702,1
645,9572947710,2
646,9572958925,1
647,9572958976,1
648,9572959603,1
649,9572965506,1
650,9572966065,1
651,9572973703,1
652,957297372X,3
653,9572973738,13
654,9572975234,1
655,9572976281,1
656,957297940X,1
657,9572990519,2
658,9572991558,1
659,957300013X,1
660,9573000148,1
661,957301100X,3
662,9573020092,1
663,9573024438,1
664,9573029650,2
665,9573032856,2
666,9573032872,2
667,9573032899,2
668,957303560X,1
669,9573041383,2
670,9573072297,2
671,9573076128,1
672,9573078104,1
673,9573078198,1
674,957307821X,1
675,9573093308,1
676,9573093316,1
677,9573093324,1
678,9573093359,1
679,9573093367,1
680,9573093375,1
681,9573093383,1
682,9573093391,1
683,9573093901,1
684,9573209519,1
685,9573210843,40
686,9573211173,1
687,957321119X,1
688,9573211467,1
689,9573212307,1
690,9573212315,1
691,9573212323,1
692,9573215640,1
693,9573217287,2
694,9573217376,1
695,9573217392,1
696,9573217538,1
697,9573218127,1
698,9573218194,1
699,9573218208,1
700,9573218216,1
701,9573218305,1
702,9573219468,1
703,9573222620,1
704,9573224461,1
705,9573224941,1
706,9573225735,1
707,9573226278,1
708,9573227037,1
709,9573227304,1
710,9573228602,1
711,9573229064,2
712,9573229129,4
713,9573229188,5
714,9573229277,4
715,9573229315,1
716,9573229323,5
717,9573229390,2
718,9573229412,4
719,9573230437,1
720,9573234300,1
721,9573241536,1
722,957324179X,1
723,957324196X,1
724,9573242664,1
725,9573243245,1
726,9573243253,1
727,9573243296,1
728,9573243733,1
729,9573244500,2
730,9573245302,1
731,9573245469,1
732,9573245485,2
733,9573245507,2
734,957324568X,1
735,9573245841,1
736,9573246201,1
737,9573246252,1
738,9573246287,2
739,9573246295,2
740,9573246317,2
741,9573246325,1
742,9573246422,1
743,9573246546,1
744,9573246562,1
745,9573246570,2
746,9573246902,1
747,9573247356,1
748,9573247437,1
749,9573247445,1
750,9573247836,1
751,9573248263,1
752,9573248271,2
753,9573248557,1
754,9573248565,1
755,9573248573,1
756,9573248778,1
757,9573248794,1
758,9573248808,1
759,9573249111,1
760,9573249294,1
761,9573249308,1
762,9573249316,1
763,9573249332,1
764,9573249340,1
765,9573249359,1
766,9573249367,1
767,9573249405,1
768,9573249413,2
769,9573249464,1
770,9573249669,1
771,9573250004,1
772,957325008X,1
773,9573250608,1
774,9573251051,1
775,9573251124,1
776,9573251256,1
777,9573251507,1
778,9573251817,1
779,9573251825,1
780,9573251833,1
781,9573252023,2
782,9573252783,1
783,9573254832,1
784,9573255278,1
785,9573255286,1
786,9573255936,1
787,9573256495,1
788,9573256517,2
789,9573257025,1
790,9573257033,1
791,9573257467,1
792,9573257475,1
793,9573257483,2
794,9573257491,1
795,9573257505,1
796,9573257513,1
797,9573257696,1
798,957325770X,1
799,9573257718,1
800,9573257726,1
801,9573257882,1
802,9573258137,1
803,9573258153,1
804,9573258374,1
805,9573258900,1
806,9573259036,1
807,9573259125,1
808,9573317249,1
809,9573318008,1
810,9573318318,1
811,9573318806,1
812,9573319861,2
813,957332153X,2
814,9573321556,1
815,9573321564,1
816,9573321742,1
817,9573322048,1
818,9573322455,1
819,9573322900,1
820,9573800020,5
821,957380297X,1
822,9573805650,1
823,9573900645,1
824,9573900890,4
825,9573907267,1
826,9574201112,22
827,9574201120,1
828,9574201139,1
829,9574201147,1
830,9574201392,1
831,9574201406,1
832,9574201783,1
833,9574202240,1
834,957420314X,1
835,9574204405,1
836,9574204952,1
837,9574206963,1
838,9574207048,1
839,9574207781,1
840,9574207900,25
841,9574211401,20
842,9574211614,1
843,9574211622,1
844,9574211657,1
845,9574212440,1
846,9574400003,1
847,9574400010,1
848,9574400027,1
849,9574400034,1
850,9574400089,1
851,9574400263,1
852,957440031X,3
853,9574400336,1
854,9574400454,1
855,9574400913,1
856,9574401723,1
857,957440174X,1
858,9574401758,1
859,9574401766,1
860,9574401774,1
861,9574401782,1
862,9574401790,1
863,9574401804,1
864,9574401812,1
865,9574401820,1
866,9574401839,1
867,9574401847,1
868,9574401855,1
869,9574401952,1
870,9574402002,1
871,9574402053,1
872,9574402061,1
873,957440207X,1
874,9574402096,1
875,957440210X,1
876,9574402118,1
877,9574402126,1
878,9574402134,1
879,9574402142,1
880,9574403076,10
881,9574440540,1
882,957444144X,1
883,9574441741,1
884,9574442896,1
885,9574443124,1
886,9574443159,1
887,9574443337,1
888,9574503291,1
889,9574503623,1
890,9574504964,1
891,9574510816,1
892,9574510859,2
893,9574510913,1
894,9574510964,1
895,9574511081,2
896,9574511162,2
897,9574511251,2
898,9574511367,2
899,9574511456,1
900,9574511499,1
901,9574511553,2
902,9574511642,2
903,9574511677,2
904,9574511685,1
905,9574511723,1
906,9574511774,1
907,9574511863,2
908,9574512193,1
909,9574512304,2
910,9574512495,2
911,9574512517,1
912,957451255X,1
913,9574512592,1
914,9574512657,1
915,9574512673,1
916,957451272X,2
917,9574512789,1
918,9574512797,1
